MR,Ref
"name[The Eagle], customerrating[3 out of 5], food[Chinese], eattype[coffee shop], pricerange[moderate], near[Burger King], area[riverside], period[.], familyfriendly[yes], period[.]",The Eagle is a 3 out of 5 stars Chinese coffee shop in the moderate price range near the Burger King by the riverside. It is kids friendly.
"area[city centre], near[Burger King], name[The Eagle], familyfriendly[no], eattype[coffee shop], food[Chinese], period[.], pricerange[more than £30], customerrating[high], period[.]","Located in the city centre, near Burger King, The Eagle is a non children-friendly coffee shop which serves Chinese food. It has a price range of more than £30 and high customer ratings."
"name[The Eagle], eattype[coffee shop], food[Chinese], period[.], pricerange[more than £30], customerrating[high], area[city centre], familyfriendly[no], near[Burger King], period[.]","The Eagle is a coffee shop which serves Chinese food costing more than 30 pounds. It has a high customer rating, and in the middle of town. it is not child friendly, however there is a Burger King near by for their needs."
"food[Chinese], eattype[coffee shop], area[city centre], period[.], name[The Eagle], pricerange[more than £30], customerrating[high], familyfriendly[no], near[Burger King], period[.]","The Chinese Eagle coffee shop which is in the center. of town, does cost more than 30 pounds. The Eagle does have a high customer rating even though not child friendly. There is a Burger King nearby."
"name[The Eagle], eattype[coffee shop], food[Chinese], pricerange[more than £30], customerrating[high], period[.], familyfriendly[no], near[Burger King], area[city centre], period[.]","The Eagle is this coffee shop, but it also has Chinese food ranging from £30 and up with a high customer rating.  It's not kid friendly and it's near Burger King in the city centre."
"name[The Eagle], eattype[coffee shop], food[Chinese], period[.], pricerange[more than £30], customerrating[high], area[city centre], near[Burger King], familyfriendly[no], period[.]",The Eagle is a coffee shop with Chinese food.  This establishment has earned a high customer rating.  They charge more than 30 pounds.  They are located in the city centre near Burger King and are not family friendly.
"food[Chinese], area[city centre], name[The Eagle], period[.], familyfriendly[no], eattype[coffee shop], pricerange[more than £30], customerrating[high], near[Burger King], period[.]","A good choice for Chinese food in the city centre is The Eagle.  This no children-friendly coffee shop has slightly high price range, but high customer ratings. It is located near Burger King."
"customerrating[high], food[Chinese], name[The Eagle], period[.], eattype[coffee shop], near[Burger King], familyfriendly[no], period[.]","A highly-rated Chinese establishment is The Eagle.  This coffee shop is centrally located, near Burger King.  They have a price range of over 30 pounds.  Please remember they do not allow children."
"name[The Eagle], eattype[coffee shop], food[Chinese], period[.], pricerange[more than £30], customerrating[high], familyfriendly[yes], near[Burger King], area[city centre], period[.]",The Eagle is a coffee shop which serves Chinese food at a minimum cost of £30. They have a high customer rating and are child friendly. You can find it near Burger King in the city centre.
"near[Burger King], name[The Eagle], eattype[coffee shop], food[Chinese], period[.], area[city centre], pricerange[more than £30], customerrating[high], familyfriendly[yes], period[.]","Located near Burger King, The Eagle is a coffee shop styled joint that sells Chinese food. This shop is known in the city centre for its high prices, family friendly atmosphere, and high ratings."
"name[The Eagle], eattype[coffee shop], area[city centre], food[Chinese], period[.], near[Burger King], pricerange[more than £30], customerrating[high], familyfriendly[yes], period[.]",The Eagle is a coffee shop in the city centre that serves Chinese food. It is near Burger King. The price range is more than £30 and it has a customer rating of high. It is child friendly .
"name[The Eagle], eattype[coffee shop], food[Chinese], period[.], pricerange[more than £30], customerrating[high], area[city centre], near[Burger King], period[.]",The Eagle is a coffee shop and Chinese food is also available. High customer rating and food is high price range . Located city center. Near Burger King
"name[The Eagle], eattype[coffee shop], food[Chinese], period[.], customerrating[high], pricerange[more than £30], area[city centre], familyfriendly[yes], near[Burger King], period[.]",The Eagle is a coffee shop and Chinese food is also available. We have a high customer rating and food is high price range more than £30 . Located city center. Children friendly and near Burger King
"eattype[coffee shop], name[The Eagle], food[Chinese], pricerange[more than £30], customerrating[high], period[.], familyfriendly[yes], near[Burger King], area[city centre], period[.]",There is a coffee shop called The Eagle that serves Chinese food The price range is more than £30 and the customer rating is  high . it is child friendly and is near Burger King in the City centre
"name[The Eagle], food[Chinese], eattype[coffee shop], customerrating[high], pricerange[more than £30], period[.], familyfriendly[no], area[riverside], near[Burger King], period[.]","The Eagle is a Chinese coffee shop that has a high customer rating and a price range of more than £30.  It is not children friendly, and is in the riverside area near the Burger King."
"food[Chinese], eattype[coffee shop], name[The Eagle], area[riverside], near[Burger King], period[.], pricerange[more than £30], customerrating[high], familyfriendly[no], period[.]","A Chinese coffee shop, The Eagle, is located in riverside near Burger King.  It is in the high price range, is rated high by customers, and is not child-friendly."
"near[Burger King], eattype[coffee shop], food[Chinese], name[The Eagle], period[.], pricerange[more than £30], customerrating[high], area[riverside], familyfriendly[no], period[.]","Located near Burger King is a coffee shop serving Chinese food called The Eagle. Its price range is over £30, reflected in its high customer rating. It is located on a picturesque riverside. It is not child friendly."
"name[The Eagle], food[Chinese], eattype[coffee shop], period[.], pricerange[more than £30], customerrating[high], familyfriendly[no], near[Burger King], period[.]",The Eagle is a Chinese coffee shop. It is expensive and has a high customer rating. It isn't kid friendly and near Burger King.
"name[The Eagle], food[Chinese], eattype[coffee shop], area[riverside], near[Burger King], pricerange[more than £30], customerrating[high], period[.], familyfriendly[no], period[.]","The Eagle, a Chinese coffee shop in riverside near Burger King, is in the high price range and is rated high by customers.  It is not children-friendly."
"name[The Eagle], food[Chinese], eattype[coffee shop], area[riverside], near[Burger King], period[.], customerrating[high], pricerange[more than £30], familyfriendly[no], period[.]","The Eagle is a Chinese coffee shop in the riverside area near Burger King.  It has a high customer rating and a price range of more than £30, but is not children friendly."
"name[The Eagle], eattype[coffee shop], food[Chinese], period[.], pricerange[more than £30], customerrating[high], area[riverside], familyfriendly[no], near[Burger King], period[.]",The Eagle is a coffee shop that serves Chinese food with a price range of over £30. The customer rating is high and it's located on a nice riverside. It isn't child-friendly and is located near Burger King.
"area[riverside], eattype[coffee shop], name[The Eagle], period[.], customerrating[high], familyfriendly[yes], food[Chinese], near[Burger King], period[.]","Near the river there is a coffee shop  called The Eagle. It is highly recommended and reasonably priced, for your convenience it is children friendly and is located near Burger King."
"near[Burger King], name[The Eagle], food[Chinese], customerrating[high], eattype[coffee shop], area[riverside], familyfriendly[yes], period[.]","Near Burger King, The Eagle offers Chinese food and also serves as a highly-rated coffee shop in riverside that is child-friendly.  Prices range above 30 pounds."
